Date,Open,High,Low,Close,Volume
2022-04-08,1377.6494,1385.4951,1344.9595,1353.132,5402943
2022-04-11,1359.8566,1365.8342,1340.8965,1353.5521,3268704
2022-04-12,1341.5504,1346.4539,1313.6238,1321.6095,2021088
2022-04-13,1324.5049,1334.4052,1310.7751,1317.3597,1430399
2022-04-18,1298.2594,1298.2594,1242.4062,1255.8092,3968044
2022-04-19,1271.9673,1271.9673,1200.7966,1215.3202,2677360
2022-04-20,1219.2431,1233.7667,1210.23,1222.7922,3025261
2022-04-21,1227.182,1231.9454,1211.8177,1226.0612,3728173
2022-04-22,1218.8696,1236.6156,1207.5215,1220.2706,1954666
2022-04-25,1209.5296,1212.2848,1179.268,1186.5532,2686619
2022-04-26,1196.8271,1200.8433,1181.5095,1191.2698,2568317
2022-04-27,1184.078,1190.3825,1163.997,1178.007,2382463
2022-04-28,1189.7287,1199.629,1167.6862,1187.3937,2576887
2022-04-29,1199.2555,1200.0028,1165.9584,1175.9055,3811317
2022-05-02,1158.1596,1166.5655,1143.4023,1149.9403,2149957
2022-05-04,1151.1079,1161.8489,1120.7996,1132.7549,2797667
2022-05-05,1151.4815,1182.537,1141.4878,1179.9685,3563713
2022-05-06,1157.8793,1213.2656,1147.6053,1205.5601,5745203
2022-05-09,1195.5196,1195.5196,1130.1396,1177.9137,5712061
2022-05-10,1172.1696,1187.5339,1153.4896,1160.3079,2852416
2022-05-11,1160.9615,1182.1166,1127.6177,1143.6357,3244609
2022-05-12,1129.2056,1151.4815,1118.0444,1132.7549,3110220
2022-05-13,1146.9515,1153.0693,1116.1296,1123.4614,1892084
2022-05-16,1111.4595,1140.4135,1080.5908,1110.5723,3474480
2022-05-17,1116.8768,1130.1395,1105.0617,1119.1183,4434968
2022-05-18,1129.2055,1149.2864,1091.3785,1094.6942,5294021
2022-05-19,1076.9016,1077.7422,1027.3996,1035.1985,4393100
2022-05-20,1053.5515,1059.9028,1041.176,1056.2601,2461651
2022-05-23,1059.1555,1072.0448,1042.0167,1067.4681,2783695
2022-05-24,1072.2315,1075.8274,1018.9935,1025.8584,3666196
2022-05-25,1019.0404,1022.6362,976.0296,990.1797,4711542
2022-05-26,999.3797,1017.5927,986.2569,1007.412,2946857
2022-05-27,1022.7297,1051.8705,1019.9277,1049.1152,3367600
2022-05-30,1067.4682,1093.2465,1060.5098,1087.1755,2469771
2022-05-31,1075.9677,1113.3276,1072.8388,1102.3531,9674664
2022-06-01,1107.8637,1117.9976,1067.655,1070.924,2419021
2022-06-02,1064.7595,1079.1431,1057.0073,1070.3635,3206663
2022-06-03,1083.4396,1103.9875,1068.5889,1072.1382,3229236
2022-06-06,1070.3636,1073.1656,1037.767,1068.6824,3938875
2022-06-07,1055.513,1064.5728,1046.7333,1055.6998,1656444
2022-06-08,1059.9962,1064.1058,1045.9862,1050.0023,1303551
2022-06-09,1047.9475,1066.5808,1038.2807,1063.4519,1323539
2022-06-10,1045.1457,1049.7224,1027.6332,1036.5996,3119792
2022-06-13,1009.8404,1013.016,980.6996,982.5209,2012004
2022-06-14,965.7557,986.8174,953.0533,962.1598,5775453
2022-06-15,968.5577,968.5577,950.6249,952.7264,3238141
2022-06-16,956.4624,965.382,906.9137,910.9299,5600443
2022-06-17,907.007,910.0425,881.4155,901.3563,7043370
2022-06-20,901.3097,922.9318,885.4783,914.7125,2985094
2022-06-21,925.9673,938.3428,915.3196,934.093,3433536
2022-06-22,931.1509,931.1509,904.1116,915.3196,2719988
2022-06-23,916.347,932.6453,907.1471,925.687,2915172
2022-06-24,934.9337,934.9337,909.7157,916.4405,4056588
2022-06-27,930.2636,956.509,930.2636,940.7244,3796002
2022-06-28,935.8676,961.0856,919.1023,953.3334,2755698
2022-06-29,941.4717,959.5913,936.3813,953.707,3770663
2022-06-30,948.9437,958.2837,931.1977,933.9997,3264301
2022-07-01,931.1975,947.0755,924.0057,943.9933,1842102
2022-07-04,943.9934,946.8888,929.3296,933.9529,1814322
2022-07-05,938.6696,954.4542,933.0656,936.9884,3045188
2022-07-06,941.4716,947.9162,935.494,943.2462,2188175
2022-07-07,953.5669,959.1242,948.9436,953.3801,1901699
2022-07-08,962.9537,966.4094,947.5894,958.7507,2841036
2022-07-11,948.0097,950.2046,922.7917,941.0514,2892507
2022-07-12,933.9997,949.6908,928.8627,931.5245,2013304
2022-07-13,935.3072,937.9224,921.9043,924.7063,2067142
2022-07-14,932.1317,932.692,904.8589,911.3969,2212219
2022-07-15,915.3197,923.6323,901.3564,909.5289,2544737
2022-07-18,919.9896,954.5476,919.2424,941.4716,3946821
2022-07-19,933.953,944.227,925.5937,941.1915,2985845
2022-07-20,953.8471,982.2873,950.1111,976.4966,5574762
